epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,117599,1.32573,1.13543,1.39521,0.8073,0.71806,0.81692,0.51218,1.36619,1.05235,1.40405,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,121282,1.32229,1.13294,1.39086,0.80626,0.7208,0.81807,0.51379,1.36686,1.04564,1.40297,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,124735,1.32044,1.13268,1.39328,0.80747,0.71975,0.81688,0.51324,1.36446,1.04547,1.4011,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,128663,1.31871,1.1252,1.38886,0.80622,0.72092,0.81718,0.5146,1.36506,1.03939,1.39987,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,132232,1.31506,1.13286,1.38766,0.80745,0.72282,0.81739,0.51507,1.36494,1.03577,1.39975,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,136002,1.31628,1.12363,1.39009,0.80449,0.72642,0.81848,0.51613,1.36413,1.03555,1.3998,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,139430,1.31331,1.12298,1.38714,0.80419,0.72834,0.81955,0.51699,1.36442,1.0322,1.39927,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,143467,1.31271,1.1255,1.38998,0.80813,0.72394,0.81976,0.51679,1.36463,1.0315,1.39943,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,147237,1.31492,1.12345,1.39081,0.80719,0.724,0.81929,0.5163,1.36232,1.03547,1.39876,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,150765,1.31329,1.11852,1.39082,0.80975,0.72006,0.81838,0.5159,1.36315,1.03395,1.39985,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,154564,1.30571,1.12189,1.38452,0.81052,0.72068,0.81881,0.51638,1.36191,1.03239,1.39893,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,157961,1.30762,1.11471,1.38433,0.81148,0.72213,0.82091,0.5176,1.36051,1.02892,1.39815,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,161087,1.30652,1.11019,1.38747,0.81394,0.72485,0.82147,0.51844,1.36006,1.0256,1.39865,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,164161,1.30325,1.10799,1.38273,0.81778,0.72384,0.82227,0.51909,1.35963,1.02452,1.39844,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,167293,1.30755,1.09857,1.38358,0.81503,0.72723,0.82379,0.52006,1.3583,1.02318,1.39709,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,171064,1.30466,1.10599,1.38167,0.81233,0.72923,0.8245,0.52096,1.35745,1.01942,1.39652,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,174669,1.30188,1.09455,1.38212,0.81642,0.72752,0.82643,0.52192,1.35698,1.0172,1.39644,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,178468,1.30275,1.1108,1.38032,0.81667,0.72796,0.82726,0.52307,1.35512,1.01587,1.39467,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,182236,1.2969,1.10412,1.37625,0.81457,0.72532,0.82605,0.52257,1.35369,1.01879,1.39293,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,186186,1.30077,1.1,1.37944,0.80953,0.72819,0.82489,0.52274,1.35436,1.01736,1.39432,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,189624,1.30174,1.09531,1.37825,0.81952,0.72969,0.82813,0.52466,1.3531,1.01139,1.39308,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,192841,1.29831,1.09405,1.37816,0.8214,0.73378,0.82927,0.52562,1.3518,1.00917,1.39249,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,196158,1.29764,1.09699,1.37831,0.81301,0.73056,0.82563,0.52425,1.35225,1.00852,1.39203,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,199437,1.29708,1.0847,1.37684,0.81376,0.72764,0.82507,0.52398,1.35373,1.00561,1.39256,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,202616,1.29435,1.0914,1.37398,0.81234,0.73064,0.82453,0.52342,1.35263,1.00693,1.39016,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,206235,1.29459,1.09476,1.3755,0.8195,0.73153,0.8285,0.52634,1.34855,1.00489,1.38709,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,210008,1.29628,1.08706,1.37317,0.82001,0.72783,0.8267,0.52614,1.34845,1.00594,1.38748,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,213622,1.29234,1.08508,1.37482,0.82096,0.72842,0.82713,0.52616,1.34959,1.00561,1.38797,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,217339,1.29194,1.07753,1.3691,0.81967,0.72882,0.82626,0.52592,1.34806,1.00848,1.38737,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,221265,1.29387,1.07533,1.37259,0.81703,0.73309,0.82635,0.52602,1.35145,1.00178,1.38767,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,226356,1.2904,1.07453,1.37036,0.81978,0.73246,0.82733,0.52689,1.35191,0.99761,1.3874,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,232384,1.29267,1.07682,1.37185,0.81543,0.73839,0.82876,0.52786,1.35111,0.99417,1.38632,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,237113,1.28684,1.07782,1.36804,0.81948,0.73568,0.82966,0.52902,1.35151,0.99116,1.38669,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,241360,1.28407,1.07304,1.36471,0.82195,0.73879,0.83129,0.52976,1.34877,0.98943,1.38446,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,245354,1.28593,1.06741,1.3642,0.81994,0.7406,0.83286,0.53108,1.34676,0.9878,1.3821,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,249069,1.2841,1.06967,1.36673,0.82362,0.74242,0.8341,0.53216,1.34845,0.98353,1.38294,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,252573,1.28379,1.06439,1.36596,0.82294,0.74426,0.83556,0.53304,1.34964,0.97885,1.384,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,255890,1.28631,1.05779,1.36414,0.81989,0.74723,0.83509,0.53339,1.34871,0.98039,1.38355,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,259657,1.28314,1.06048,1.36506,0.824,0.7469,0.83713,0.53422,1.34977,0.97429,1.3852,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,263118,1.28071,1.06115,1.36289,0.82006,0.74873,0.83779,0.53449,1.34847,0.97601,1.38483,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,266966,1.28344,1.06528,1.36535,0.82784,0.74402,0.83724,0.53424,1.34994,0.97317,1.38572,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,274209,1.28046,1.05673,1.35988,0.82965,0.74216,0.83791,0.53473,1.34962,0.96979,1.38494,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,278827,1.27724,1.05222,1.35958,0.82783,0.74435,0.83879,0.53528,1.34943,0.96461,1.3846,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,284187,1.27754,1.05916,1.35953,0.83069,0.74446,0.83938,0.53588,1.34807,0.96234,1.38231,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,288796,1.2771,1.05339,1.36124,0.82485,0.74657,0.83937,0.53607,1.34691,0.96273,1.38124,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,292480,1.2742,1.05322,1.35924,0.82604,0.74537,0.83908,0.53623,1.34466,0.96526,1.37944,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,297162,1.27715,1.04966,1.3591,0.82927,0.74551,0.83966,0.53639,1.34443,0.96227,1.37979,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,301132,1.27513,1.04939,1.36149,0.82934,0.74286,0.84025,0.53704,1.34493,0.95653,1.38107,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,305380,1.27308,1.0437,1.36124,0.82757,0.74784,0.84125,0.53808,1.34347,0.95422,1.38007,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,311300,1.26711,1.05052,1.35662,0.82625,0.74644,0.84017,0.53748,1.3412,0.95805,1.37937,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,315036,1.27073,1.04458,1.35622,0.82509,0.74745,0.84109,0.53835,1.34008,0.957,1.37846,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,318966,1.27101,1.03764,1.35254,0.82843,0.74717,0.84123,0.53836,1.34355,0.9521,1.37991,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,322389,1.26837,1.03674,1.35489,0.82839,0.74393,0.84068,0.53831,1.34176,0.95487,1.37963,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,326273,1.26907,1.03615,1.35468,0.82931,0.74621,0.84231,0.53915,1.34076,0.9549,1.3793,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
